LinkID,Type,NodeID1,NodeID2,Length_ft,Diameter_in,Roughness,InitialStatus,MinorLoss_K,Power_HJ,Setting,CurveID,Valve  Type,Tag
J_SNT1_715_765,Pipe,J_SNT1_715,J_SNT1_765,50,2.469,0.000167,Open,0,,,,,SNT1 715?50 ft
J_SNT1_765_CNT7,Pipe,J_SNT1_765,J_CNT7,205,1.029,0.000167,Open,0,,,,,"""Lateral @205 ft ? CNT7"""
J_SNT1_765_845,Pipe,J_SNT1_765,J_SNT1_845,80,2.469,0.000167,Open,0,,,,,SNT1 765?80 ft
J_SNT1_V3_IN_845,Pipe,J_SNT1_845,J_V3_IN_845,1,2.469,0.000167,Open,0,,,,,Stub into V3 (no added length)
V3,Valve,J_V3_IN_845,J_V3_OUT_845,1,2.469,0.000167,Open,0,,20,,FCV,"""FCV set to 20 gJm"""
J_SNT1_V3_OUT_845_890,Pipe,J_V3_OUT_845,J_SNT1_890,45,2.469,0.000167,Open,0,,,,,SNT1 845?45 ft 
J_SNT1_890_CNT8,Pipe,J_SNT1_890,J_CNT8,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT8"""
J_SNT1_890_910,Pipe,J_SNT1_890,J_SNT1_910,20,2.469,0.000167,Open,0,,,,,SNT1 890?20 ft 
J_SNT1_910_CNT9,Pipe,J_SNT1_910,J_CNT9,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT9"""
J_SNT1_910_966,Pipe,J_SNT1_910,J_SNT1_966,56,2.469,0.000167,Open,0,,,,,SNT1 910?56 ft 
J_SNT1_966_CNT10,Pipe,J_SNT1_966,J_CNT10,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT10"""
J_SNT1_966_986,Pipe,J_SNT1_966,J_SNT1_986,20,2.469,0.000167,Open,0,,,,,SNT1 966?20 ft 
J_SNT1_986_CNT11,Pipe,J_SNT1_986,J_CNT11,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT11"""
J_SNT1_986_1042,Pipe,J_SNT1_986,J_SNT1_1042,56,2.469,0.000167,Open,0,,,,,SNT1 986?56 ft 
J_SNT1_1042_CNT12,Pipe,J_SNT1_1042,J_CNT12,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT12"""
J_SNT1_1042_1062,Pipe,J_SNT1_1042,J_SNT1_1062,20,2.469,0.000167,Open,0,,,,,SNT1 1042?20 ft 
J_SNT1_1062_CNT13,Pipe,J_SNT1_1062,J_CNT13,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT13"""
J_SNT1_1062_1118,Pipe,J_SNT1_1062,J_SNT1_1118,56,2.469,0.000167,Open,0,,,,,SNT1 1062?56 ft 
J_SNT1_1118_CNT14,Pipe,J_SNT1_1118,J_CNT14,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT14"""
J_SNT1_1118_1174,Pipe,J_SNT1_1118,J_SNT1_1174,56,2.469,0.000167,Open,0,,,,,SNT1 1118?56 ft 
J_SNT1_1174_CNT15,Pipe,J_SNT1_1174,J_CNT15,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT15"""
J_SNT1_1174_1194,Pipe,J_SNT1_1174,J_SNT1_1194,20,2.469,0.000167,Open,0,,,,,SNT1 1174?20 ft 
J_SNT1_1194_CNT16,Pipe,J_SNT1_1194,J_CNT16,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT16"""
J_SNT1_1194_1250,Pipe,J_SNT1_1194,J_SNT1_1250,56,2.469,0.000167,Open,0,,,,,SNT1 1194?56 ft 
J_SNT1_1250_CNT17,Pipe,J_SNT1_1250,J_CNT17,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT17"""
J_SNT1_1250_1265,Pipe,J_SNT1_1250,J_SNT1_1265,15,2.469,0.000167,Open,0,,,,,SNT1 1250?15 ft 
J_SNT1_1265_CNT18,Pipe,J_SNT1_1265,J_CNT18,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT18"""
J_SNT1_1265_1280,Pipe,J_SNT1_1265,J_SNT1_1280,15,2.469,0.000167,Open,0,,,,,SNT1 1265?15 ft 
J_SNT1_1280_CNT19,Pipe,J_SNT1_1280,J_CNT19,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT19"""
J_SNT1_1280_1295,Pipe,J_SNT1_1280,J_SNT1_1295,15,2.469,0.000167,Open,0,,,,,SNT1 1280?15 ft 
J_SNT1_1295_CNT20,Pipe,J_SNT1_1295,J_CNT20,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT20"""
J_SNT1_1295_1310,Pipe,J_SNT1_1295,J_SNT1_1310,15,2.469,0.000167,Open,0,,,,,SNT1 1295?15 ft 
J_SNT1_1310_CNT21,Pipe,J_SNT1_1310,J_CNT21,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT21"""
J_SNT1_1310_1325,Pipe,J_SNT1_1310,J_SNT1_1325,15,2.469,0.000167,Open,0,,,,,SNT1 1310?15 ft 
J_SNT1_1325_CNT22,Pipe,J_SNT1_1325,J_CNT22,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT22"""
J_SNT1_1325_1420,Pipe,J_SNT1_1325,J_SNT1_1420,95,2.469,0.000167,Open,0,,,,,SNT1 1325?95 ft 
J_SNT1_1420_CNT23,Pipe,J_SNT1_1420,J_CNT23,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT13"""
J_SNT1_1420_1435,Pipe,J_SNT1_1420,J_SNT1_1435,15,2.469,0.000167,Open,0,,,,,SNT1 1420?15 ft 
J_SNT1_1435_CNT24,Pipe,J_SNT1_1435,J_CNT24,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CN24"""
J_SNT1_1435_1450,Pipe,J_SNT1_1435,J_SNT1_1450,15,2.469,0.000167,Open,0,,,,,SNT1 1435?15 ft 
J_SNT1_1450_CNT25,Pipe,J_SNT1_1450,J_CNT25,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT25"""
J_SNT1_1450_1530,Pipe,J_SNT1_1450,J_SNT1_1530,95,2.469,0.000167,Open,0,,,,,SNT1 1450?95 ft 
J_SNT1_1530_CNT26,Pipe,J_SNT1_1530,J_CNT26,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT26"""
J_SNT1_1530_1545,Pipe,J_SNT1_1530,J_SNT1_1560,15,2.469,0.000167,Open,0,,,,,SNT1 1530?15 ft 
J_SNT1_1545_CNT27,Pipe,J_SNT1_1545,J_CNT27,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT27"""
J_SNT1_1545_1640,Pipe,J_SNT1_1545,J_SNT1_1640,95,2.469,0.000167,Open,0,,,,,SNT1 1545?95 ft 
J_SNT1_1640_CNT28,Pipe,J_SNT1_1640,J_CNT28,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT28"""
J_SNT1_1640_1670,Pipe,J_SNT1_1640,J_SNT1_1655,15,2.469,0.000167,Open,0,,,,,SNT1 1640?15 ft 
J_SNT1_1655_CNT29,Pipe,J_SNT1_1655,J_CNT29,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT29"""
J_SNT1_1655_1750,Pipe,J_SNT1_1655,J_SNT1_1750,95,2.469,0.000167,Open,0,,,,,SNT1 1655?95 ft 
J_SNT1_1750_CNT30,Pipe,J_SNT1_1750,J_CNT30,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT30"""
J_SNT1_1750_1765,Pipe,J_SNT1_1750,J_SNT1_1765,15,2.469,0.000167,Open,0,,,,,SNT1 1765?15 ft 
J_SNT1_1780_CNT31,Pipe,J_SNT1_1765,J_CNT31,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT21"""
J_SNT1_1765_1975,Pipe,J_SNT1_1765,J_SNT1_1875,95,2.469,0.000167,Open,0,,,,,SNT1 1765?95 ft 
J_SNT1_1860_CNT32,Pipe,J_SNT1_1860,J_CNT32,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT32"""
J_SNT1_1860_1875,Pipe,J_SNT1_1860,J_SNT1_1875,15,2.469,0.000167,Open,0,,,,,SNT11860?15 ft 
J_SNT1_1875_CNT33,Pipe,J_SNT1_1875,J_CNT33,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT33"""
J_SNT1_1875_2025,Pipe,J_SNT1_1875,J_SNT1_2025,150,2.469,0.000167,Open,0,,,,,SNT1 1860?150 ft 
J_SNT1_2025_CNT34,Pipe,J_SNT1_2025,J_CNT34,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CN34"""
J_SNT1_2025_2040,Pipe,J_SNT1_2025,J_SNT1_2040,15,2.469,0.000167,Open,0,,,,,SNT1 2025?15 ft 
J_SNT1_2040_CNT35,Pipe,J_SNT1_2040,J_CNT35,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT35"""
J_SNT1_2040_2135,Pipe,J_SNT1_2040,J_SNT1_2135,95,2.469,0.000167,Open,0,,,,,SNT1 2040?95 ft 
J_SNT1_2135_CNT36,Pipe,J_SNT1_2135,J_CNT36,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT36"""
J_SNT1_2135_2215,Pipe,J_SNT1_2135,J_SNT1_2215,80,2.469,0.000167,Open,0,,,,,SNT1 2135?80 ft(Dead End) 
J_SNT1_2215_V4_IN_2215_Stub,Pipe,J_SNT1_2215_Stub,J_V4_IN_2215,1,2.469,0.000167,Open,0,,,,,Stub into V4 (no added length)
V4,Valve,J_V4_IN_2215,J_V4_OUT_2215,1,2.469,0.000167,Closed,0,,,,TCV,Closed valve on SNT1
J_M1_SNT2_Stub_55,Pipe,M1,J_SNT2_Stub_55,55,2.469,0.000167,Open,0,,,,,"""Header M1 ? SNT2 (to CNT37)"""
J_SNT2_Stub_55,Pipe,J_SNT2_Stub_55,J_V5_IN_55,1,2.469,0.000167,Open,0,,,,,Stub into V5 (no added length)
V5,Valve,J_V5_IN_55,J_V5_OUT_55,1,2.469,0.000167,Closed,0,,,,TCV,Closed valve on SNT2
J_SNT2_V5_OUT_55_CNT37,Pipe,J_V5_OUT_55,J_CNT37_90,90,1.029,0.000167,Closed,0,,,,,90 ft lateral ? CNT37 through V5 closed
J_SNT2_55_80,Pipe,J_SNT2_55,J_SNT2_80,25,2.469,0.000167,Open,0,,,,,SNT2 55?25 ft 
J_SNT2_80_CNT38,Pipe,J_V5_OUT,J_CNT38,105,1.029,0.000167,Open,0,,,,,"""Lateral @105 ft ? CNT38"""
J_SNT2_80_105,Pipe,J_SNT2_80,J_SNT2_105,25,2.469,0.000167,Open,0,,,,,SNT2 80?25 ft 
J_SNT2_105_Stub,Pipe,J_SNT2_105_Stub,J_V6_IN_105,1,2.469,0.000167,Open,0,,,,,Stub into V6 (no added length)
V6,Valve,J_V6_IN_105,J_V6_OUT_105,1,2.469,0.000167,Closed,0,,0,,TCV,Closed valve on SNT2
J_SNT2_V6_OUT_105_185,Pipe,J_V6_OUT_105,J_SNT2_185,80,2.469,0.000167,Open,0,,,,,SNT2 105?185 ft 
J_SNT2_185_Stub,Pipe,J_SNT2_185_Stub,J_V7_IN_185,1,2.469,0.000167,Open,0,,,,,Stub into V9 (no added length)
V7,Valve,J_V7_IN_185,J_V7_OUT_185,1,2.469,0.000167,Open,0,,20,,FCV,"""FCV set to 20 gJm (SNT2)"""
J_SNT2_V7_OUT_185_210,Pipe,J_V7_OUT_185,J_SNT2_210,25,2.469,0.000167,Open,0,,,,,Lateral ? through V7 to V8
J_SNT2_210_300,Pipe,J_SNT2_210,J_SNT2_300,90,2.469,0.000167,Open,0,,,,,SNT2 300 ft?90 ft to V8
J_SNT2_300_V8_IN_300,Pipe,J_SNT2_300,J_V8_IN_300,1,2.469,0.000167,Open,0,,,,,Stub into V9 (no added length)
V8,Valve,J_V8_IN_300,J_V8_OUT_300,1,1.029,0.000167,Open,0,,20,,FCV,"""FCV set to 20 gJm (SNT2)"""
J_SNT2_V8_OUT_300_CNT39,Pipe,J_V8_OUT_300,J_CNT39,150,1.029,0.000167,Open,0,,,,,"""Lateral @185 ft ? V8_IN"""
J_SNT2_V8_OUT_300_325,Pipe,J_V8_OUT_300,J_SNT2_325,20,2.469,0.000167,Open,0,,,,,SNT2 185?20 ft 
J_SNT2_325_CNT40,Pipe,J_SNT2_325,CNT40_100,100,1.029,0.000167,Open,0,,,,,"""Lateral @100 ft ? CNT40"""
J_CNT40_100,Pipe,CNT40_100,J_V9_IN,1,1.029,0.000167,Open,0,,,,,185 ft lateral ? through V9 to CNT41
V9,Valve,J_V9_IN,J_V9_OUT,1,1.029,0.000167,Open,0,,20,,FCV,"""FCV set to 20 gJm (SNT2)"""
J_CNT40_100_V9_OUT,Pipe,J_V9_100,J_CNT41_285,185,1.029,0.000167,Open,0,,0,,TCV,Closed valve on CNT41
J_SNT2_325_350,Pipe,J_SNT2_325,J_SNT2_350,25,2.469,0.000167,Open,0,,,,,SNT2 325?25 ft 
J_SNT2_350_CNT42,Pipe,J_SNT2_350,J_CNT42,150,1.029,0.000167,Open,0,,,,,"""Lateral @150 ft ? CNT42"""
J_SNT2_350_365,Pipe,J_SNT2_350,J_SNT2_365,15,2.469,0.000167,Open,0,,,,,SNT2 350?15 ft 
J_SNT2_365_CNT43,Pipe,J_SNT2_245,J_CNT43,150,1.029,0.000167,Open,0,,,,,150 ft lateral ? CNT43
J_SNT2_365_415,Pipe,J_SNT2_365,J_SNT2_415,50,2.469,0.000167,Open,0,,,,,SNT2 365?50 ft 
J_SNT2_415_CNT44,Pipe,J_SNT2_365,J_CNT44,150,1.029,0.000167,Open,0,,,,,150 ft lateral ? CNT44
J_SNT2_415_430,Pipe,J_SNT2_415,J_SNT2_430,15,2.469,0.000167,Open,0,,,,,SNT2 415?50 ft 
J_SNT2_430_CNT45,Pipe,J_SNT2_415,J_CNT45,150,1.029,0.000167,Open,0,,,,,150 ft lateral ? CNT45
J_SNT2_430_480,Pipe,J_SNT2_430,J_SNT2_480,50,2.469,0.000167,Open,0,,,,,SNT2 430?50 ft 
J_SNT2_480_CNT46,Pipe,J_SNT2_430,J_CNT46,150,1.029,0.000167,Open,0,,,,,150 ft lateral ? CNT46
J_SNT2_480_495,Pipe,J_SNT2_480,J_SNT2_495,15,2.469,0.000167,Open,0,,,,,SNT2 480?15 ft 
J_SNT2_490_CNT47,Pipe,J_SNT2_480,J_CNT47,150,1.029,0.000167,Open,0,,,,,150 ft lateral ? CNT47
J_SNT2_495_545,Pipe,J_SNT2_495,J_SNT2_545,50,2.469,0.000167,Open,0,,,,,SNT2 495?50 ft 
J_SNT2_545_CNT48,Pipe,J_SNT2_495,J_CNT48,150,1.029,0.000167,Open,0,,,,,150 ft lateral ? CNT48
J_SNT2_545_565,Pipe,J_SNT2_545,J_SNT2_565,20,2.469,0.000167,Open,0,,,,,SNT2 545?20 ft 
J_SNT2_565_CNT49,Pipe,J_SNT2_545,J_CNT49,150,1.029,0.000167,Open,0,,,,,150 ft lateral ? CNT49
J_SNT2_565_600,Pipe,J_SNT2_565,J_SNT2_600,35,2.469,0.000167,Open,0,,,,,SNT2 565?35 ft 
J_SNT2_600_CNT50,Pipe,J_SNT2_565,J_CNT50,150,1.029,0.000167,Open,0,,,,,150 ft lateral ? CNT50
J_SNT2_600_635,Pipe,J_SNT2_600,J_SNT2_635,35,2.469,0.000167,Open,0,,,,,SNT2 600?35 ft 
J_SNT2_635_CNT51,Pipe,J_SNT2_600,J_CNT51,150,1.029,0.000167,Open,0,,,,,150 ft lateral ? CNT51
J_SNT2_635_670,Pipe,J_SNT2_635,J_SNT2_670,35,2.469,0.000167,Open,0,,,,,SNT2 635?35 ft 
J_SNT2_670_CNT52,Pipe,J_SNT2_635,J_CNT52,150,1.029,0.000167,Open,0,,,,,150 ft lateral ? CNT52
J_SNT2_670_705,Pipe,J_SNT2_670,J_SNT2_705,35,2.469,0.000167,Open,0,,,,,SNT2 670?35 ft 
J_SNT2_705_CNT53,Pipe,J_SNT2_670,J_CNT53,150,1.029,0.000167,Open,0,,,,,150 ft lateral ? CNT53
J_SNT2_705_840,Pipe,J_SNT2_705,J_SNT2_840,135,2.469,0.000167,Open,0,,,,,SNT2 705?135 ft 
J_SNT2_V10_IN_840,Pipe,J_SNT2_840,J_V10_IN,1,2.469,0.000167,Open,0,,,,,Stub into V10 (no added length)
V10,Valve,J_V10_IN_840,J_V10_OUT_840,1,2.469,0.000167,Open,0,,20,,FCV,"""FCV set to 20 gJm (SNT2)"""
J_SNT2_V10_OUT_840_CNT54,Pipe,J_V10_OUT_840,CNT54,15,1.029,0.000167,Open,0,,,,,50 ft lateral off V10 ? CNT54
J_SNT2_V10_OUT_840_SNT3_75,Pipe,J_V10_OUT_840,J_SNT3_75,75,2.469,0.000167,Open,0,,,,,Begiinning of SNT3 +75 ft to CNT55
J_SNT3_75_CNT55,Pipe,J_SNT3_75,J_CNT55,15,1.029,0.000167,Open,0,,,,,15 ft lateral ? CNT56
J_SNT3_75_130,Pipe,J_SNT3_75,J_SNT3_130,55,2.469,0.000167,Open,0,,,,,SNT3 75?55 ft 
J_SNT3_130_CNT56,Pipe,J_SNT3_130,J_CNT56,15,1.029,0.000167,Open,0,,,,,15 ft lateral ? CNT56
J_SNT3_130_185,Pipe,J_SNT3_130,J_SNT3_185,55,2.469,0.000167,Open,0,,,,,SNT3 +55 ft to CNT57
J_SNT3_185_CNT57,Pipe,J_SNT3_185,J_CNT57,15,1.029,0.000167,Open,0,,,,,15 ft lateral ? CNT57
J_SNT3_185_240,Pipe,J_SNT3_185,J_SNT3_240,55,2.469,0.000167,Open,0,,,,,SNT3 +55 ft to CNT61
J_SNT3_240_CNT58,Pipe,J_SNT3_240,J_CNT58,15,1.029,0.000167,Open,0,,,,,15 ft lateral ? CNT58
J_SNT3_240_295,Pipe,J_SNT3_240,J_SNT2_295,55,2.469,0.000167,Open,0,,,,,SNT3 +55 ft to CNT59(the END of SNT3)
J_SNT3_295_CNT59,Pipe,J_SNT2_295,J_CNT59,15,1.029,0.000167,Open,0,,,,,15 ft lateral ? CNT59
J_SNT2_V10_OUT_840_890,Pipe,J_V10_OUT_840,J_SNT2_890,20,2.469,0.000167,Open,0,,,,,SNT2 +20 ft to CNT60
J_SNT2_890_CNT60,Pipe,J_SNT2_890,J_CNT60,15,1.029,0.000167,Open,0,,,,,15 ft lateral ? CNT60
J_SNT2_890_1050,Pipe,J_SNT2_890,J_SNT2_1050,190,2.469,0.000167,Open,0,,,,,SNT2 890?160 ft 
J_SNT2_V11_IN_1050_Stub,Pipe,J_SNT2_1050_Stub,J_V11_IN_1050,1,2.469,0.000167,Open,0,,,,,Stub into V11 (no added length)
V11,Valve,J_V11_IN_1050,J_V11_OUT_1050,1,2.469,0.000167,Open,0,,20,,FCV,"""FCV set to 20 gJm (SNT2)"""
J_SNT2_V11_OUT_1050_SNT4_20,Pipe,J_V11_OUT_1050,J_SNT4_20,20,2.469,0.000167,Open,0,,,,,Begiinning of SNT4 +20 ft to CNT60
J_SNT4_20_CNT61,Pipe,J_SNT4_20,J_CNT61,15,1.029,0.000167,Open,0,,,,,15 ft lateral ? CNT61
J_SNT4_20_70,Pipe,J_SNT4_20,J_SNT4_70,50,2.469,0.000167,Open,0,,,,,SNT4 +50 ft to CNT65
J_SNT4_70_CNT62,Pipe,J_SNT4_70,J_CNT62,15,1.029,0.000167,Open,0,,,,,15 ft lateral ? CNT62
J_SNT4_70_129,Pipe,J_SNT4_70,J_SNT4_120,50,2.469,0.000167,Open,0,,,,,SNT4 +50 ft to CNT63
J_SNT4_120_CNT63,Pipe,J_SNT4_120,J_CNT63,15,1.029,0.000167,Open,0,,,,,15 ft lateral ? CNT63
J_SNT4_120_170,Pipe,J_SNT4_120,J_SNT4_170,50,2.469,0.000167,Open,0,,,,,SNT4 +50 ft to CNT64
J_SNT4_170_CNT64,Pipe,J_SNT4_170,J_CNT64,15,1.029,0.000167,Open,0,,,,,15 ft lateral ? CNT64
J_V11_OUT_SNT2_1050_1170,Pipe,J_V11_OUT_1050,J_SNT2_1170,120,2.469,0.000167,Open,0,,,,,SNT2 +120 ft on trunk to Valve 11
J_SNT2_1170_V12_IN_1170_Stub,Pipe,J_V12_IN_1170_Stub,J_V12_OUT_1170,1,2.469,0.000167,Open,0,,20,,FCV,"""FCV set to 20 gJm (SNT2)"""
V12,Valve,J_V12_IN_1170,J_V12_OUT_1170,1,2.469,0.000167,Open,0,,20,,FCV,"""FCV set to 20 gJm (SNT2)"""
J_SNT2_V12_OUT_SNT5_125,Pipe,J_V12_OUT_1170,J_SNT5_125,125,2.469,0.000167,Open,0,,,,,SNT5 +125 ft on trunk through Valve 12
J_SNT5_125_CNT65,,J_SNT5_125,J_CNT65,15,1.029,0.000167,Open,0,,,,,15 ft lateral ? CNT65
J_SNT5_125_130,Pipe,J_SNT5_125,J_SNT5_130,5,2.469,0.000167,Open,0,,,,,SNT5 +5 ft on trunk to Bend
J_SNT1_130_BEND_IN_130,Pipe,J_SNT5_130,J_SNT5_BEND_IN_130,1,2.469,0.000167,Open,0,,,,,"""Seg: SNT5 ? 90° bend"""
J_SNT5_BEND_OUT_130,Pipe,J_SNT5_BEND_IN_130,J_SNT5_BEND_OUT_130,1,2.469,0.000167,Open,0,,,,,"""Seg: SNT5 ? 90° bend"""
J_SNT5_BEND_OUT_130_145,Pipe,J_SNT5_BEND_OUT_130,J_SNT5_145,15,2.469,0.000167,Open,0,,,,,"""Seg: 90° bend ? SNT5 +20 ft"""
J_SNT5_125_140,Pipe,J_SNT5_BEND,J_SNT5_140,15,2.469,0.000167,Open,0,,,,,"""Seg: 90° bend ? SNT5 +15 ft"""
J_SNT5_145_165,Pipe,J_SNT5_14,J_SNT2_165,20,2.469,0.000167,Open,0,,,,,SNT5 +25 ft on trunk to CNT66
J_SNT5_165_CNT66,Pipe,J_SNT2_165,J_CNT66,55,1.029,0.000167,Open,0,,,,,55 ft lateral ? CNT66
J_SNT5_165_190,Pipe,J_SNT5_165,J_SNT5_190,25,2.469,0.000167,Open,0,,,,,SNT5+25 ft on trunk to CNT67
J_SNT5_190_CNT67,Pipe,J_SNT5_190,J_CNT67,55,1.029,0.000167,Open,0,,,,,55 ft lateral ? CNT67
J_SNT5_190_260,Pipe,J_SNT5_190,J_SNT5_260,70,2.469,0.000167,Open,0,,,,,SNT5 +70 ft on trunk to CNT68
J_SNT5_260_CNT68,Pipe,J_SNT5_260,J_CNT68,30,1.029,0.000167,Open,0,,,,,30 ft lateral ? CNT68
J_SNT2_260_310,Pipe,J_SNT5_260,J_SNT5_310,50,2.469,0.000167,Open,0,,,,,SNT5 +50 ft on trunk to CNT69
J_SNT2_310_CNT69,Pipe,J_SNT5_310,J_CNT69,80,1.029,0.000167,Open,0,,,,,80 ft lateral ? CNT69
J_SNT2_310_325,Pipe,J_SNT5_310,J_SNT5_325,15,2.469,0.000167,Open,0,,,,,SNT5 +15 ft on trunk to CNT70
J_SNT5_325_CNT70,Pipe,J_SNT5_325,J_CNT70,15,1.029,0.000167,Open,0,,,,,15 ft lateral ? CNT70
J_SNT5_325_400,Pipe,J_SNT5_325,J_SNT5_400,75,2.469,0.000167,Open,0,,,,,SNT5 +75 ft on trunk to CNT71
J_SNT5_400_CNT71,Pipe,J_SNT5_400,J_CNT71,55,1.029,0.000167,Open,0,,,,,55 ft lateral ? CNT71
J_SNT5_400_415,Pipe,J_SNT5_400,J_SNT5_415,15,2.469,0.000167,Open,0,,,,,SNT5 +15 ft on trunk to CNT72
J_SNT5_415_CNT72,Pipe,J_SNT5_415,J_CNT72,55,1.029,0.000167,Open,0,,,,,SNT5 +25 ft on trunk to CNT72
