Time (min),System Pressure (psi),Booster Mode,Pressure Tank Volume (gal),Storage Tank Volume (gal)
273,46.999999999999986,Single,800.0,5800.0
276,48.499999999999986,Single,830.0,5800.0
279,49.999999999999986,Single,860.0,5800.0
282,51.499999999999986,Single,890.0,5800.0
285,52.999999999999986,Single,920.0,5800.0
288,54.499999999999986,Single,950.0,5800.0
291,55.999999999999986,Single,980.0,5800.0
294,55.0,Off,950.0,5800.0
297,53.9,Off,920.0,5800.0
300,52.8,Off,890.0,5800.0
303,51.699999999999996,Off,860.0,5800.0
306,50.599999999999994,Off,830.0,5800.0
309,49.49999999999999,Off,800.0,5800.0
312,48.39999999999999,Off,770.0,5800.0
315,47.29999999999999,Off,740.0,5800.0
318,46.19999999999999,Off,710.0,5800.0
321,45.09999999999999,Off,680.0,5800.0
324,43.999999999999986,Single,710.0,5800.0
327,45.499999999999986,Single,740.0,5800.0
330,46.999999999999986,Single,770.0,5800.0
333,48.499999999999986,Single,800.0,5800.0
336,49.999999999999986,Single,830.0,5800.0
339,51.499999999999986,Single,860.0,5800.0
342,52.999999999999986,Single,890.0,5800.0
345,54.499999999999986,Single,920.0,5800.0
348,55.999999999999986,Single,950.0,5800.0
351,55.0,Off,920.0,5800.0
354,53.9,Off,890.0,5800.0
357,52.8,Off,860.0,5800.0
360,51.699999999999996,Off,830.0,5800.0
363,50.599999999999994,Off,800.0,5800.0
366,49.49999999999999,Off,770.0,5800.0
369,48.39999999999999,Off,740.0,5800.0
372,47.29999999999999,Off,710.0,5800.0
375,46.19999999999999,Off,680.0,5800.0
378,45.09999999999999,Off,650.0,5800.0
381,43.999999999999986,Single,680.0,5800.0
384,45.499999999999986,Single,710.0,5800.0
387,46.999999999999986,Single,740.0,5800.0
390,48.499999999999986,Single,770.0,5800.0
393,49.999999999999986,Single,800.0,5800.0
396,51.499999999999986,Single,830.0,5800.0
399,52.999999999999986,Single,860.0,5800.0
402,54.499999999999986,Single,890.0,5800.0
405,55.999999999999986,Single,920.0,5800.0
408,55.0,Off,890.0,5800.0
411,53.9,Off,860.0,5800.0
414,52.8,Off,830.0,5800.0
417,51.699999999999996,Off,800.0,5800.0
420,50.599999999999994,Off,770.0,5800.0
423,49.49999999999999,Off,740.0,5800.0
426,48.39999999999999,Off,710.0,5800.0
429,47.29999999999999,Off,680.0,5800.0
432,46.19999999999999,Off,650.0,5800.0
435,45.09999999999999,Off,620.0,5800.0
438,43.999999999999986,Single,650.0,5800.0
441,45.499999999999986,Single,680.0,5800.0
444,46.999999999999986,Single,710.0,5800.0
447,48.499999999999986,Single,740.0,5800.0
450,49.999999999999986,Single,770.0,5800.0
453,51.499999999999986,Single,800.0,5800.0
456,52.999999999999986,Single,830.0,5800.0
459,54.499999999999986,Single,860.0,5800.0
462,55.999999999999986,Single,890.0,5800.0
465,55.0,Off,860.0,5800.0
468,53.9,Off,830.0,5800.0
471,52.8,Off,800.0,5800.0
474,51.699999999999996,Off,770.0,5800.0
477,50.599999999999994,Off,740.0,5800.0
480,49.49999999999999,Off,710.0,5800.0
483,48.39999999999999,Off,680.0,5800.0
486,47.29999999999999,Off,650.0,5800.0
489,46.19999999999999,Off,620.0,5800.0
492,45.09999999999999,Off,590.0,5800.0
495,43.999999999999986,Single,620.0,5800.0
498,45.499999999999986,Single,650.0,5800.0
501,46.999999999999986,Single,680.0,5800.0
504,48.499999999999986,Single,710.0,5800.0
507,49.999999999999986,Single,740.0,5800.0
510,51.499999999999986,Single,770.0,5800.0
513,52.999999999999986,Single,800.0,5800.0
516,54.499999999999986,Single,830.0,5800.0
519,55.999999999999986,Single,860.0,5800.0
522,55.0,Off,830.0,5800.0
525,53.9,Off,800.0,5800.0
528,52.8,Off,770.0,5800.0
531,51.699999999999996,Off,740.0,5800.0
534,50.599999999999994,Off,710.0,5800.0
537,49.49999999999999,Off,680.0,5800.0
540,48.39999999999999,Off,650.0,5800.0
543,47.29999999999999,Off,620.0,5800.0
546,46.19999999999999,Off,590.0,5800.0
549,45.09999999999999,Off,560.0,5800.0
552,43.999999999999986,Single,590.0,5800.0
555,45.499999999999986,Single,620.0,5800.0
558,46.999999999999986,Single,650.0,5800.0
561,48.499999999999986,Single,680.0,5800.0
564,49.999999999999986,Single,710.0,5800.0
567,51.499999999999986,Single,740.0,5800.0
570,52.999999999999986,Single,770.0,5800.0
573,54.499999999999986,Single,800.0,5800.0
576,55.999999999999986,Single,830.0,5800.0
579,55.0,Off,800.0,5800.0
582,53.9,Off,770.0,5800.0
585,52.8,Off,740.0,5800.0
588,51.699999999999996,Off,710.0,5800.0
591,50.599999999999994,Off,680.0,5800.0
594,49.49999999999999,Off,650.0,5800.0
597,48.39999999999999,Off,620.0,5800.0
600,47.29999999999999,Off,590.0,5800.0
603,46.19999999999999,Off,560.0,5800.0
606,45.09999999999999,Off,530.0,5800.0
609,43.999999999999986,Single,560.0,5800.0
612,45.499999999999986,Single,590.0,5800.0
615,46.999999999999986,Single,620.0,5800.0
618,48.499999999999986,Single,650.0,5800.0
621,49.999999999999986,Single,680.0,5800.0
624,51.499999999999986,Single,710.0,5800.0
627,52.999999999999986,Single,740.0,5800.0
630,54.499999999999986,Single,770.0,5800.0
633,55.999999999999986,Single,800.0,5800.0
636,55.0,Off,770.0,5800.0
639,53.9,Off,740.0,5800.0
642,52.8,Off,710.0,5800.0
645,51.699999999999996,Off,680.0,5800.0
648,50.599999999999994,Off,650.0,5800.0
651,49.49999999999999,Off,620.0,5800.0
654,48.39999999999999,Off,590.0,5800.0
657,47.29999999999999,Off,560.0,5800.0
660,46.19999999999999,Off,530.0,5800.0
663,45.09999999999999,Off,500.0,5800.0
666,43.999999999999986,Single,530.0,5800.0
669,45.499999999999986,Single,560.0,5800.0
672,46.999999999999986,Single,590.0,5800.0
675,48.499999999999986,Single,620.0,5800.0
678,49.999999999999986,Single,650.0,5800.0
681,51.499999999999986,Single,680.0,5800.0
684,52.999999999999986,Single,710.0,5800.0
687,54.499999999999986,Single,740.0,5800.0
690,55.999999999999986,Single,770.0,5800.0
693,55.0,Off,740.0,5800.0
696,53.9,Off,710.0,5800.0
699,52.8,Off,680.0,5800.0
702,51.699999999999996,Off,650.0,5800.0
705,50.599999999999994,Off,620.0,5800.0
708,49.49999999999999,Off,590.0,5800.0
711,48.39999999999999,Off,560.0,5800.0
714,47.29999999999999,Off,530.0,5800.0
717,46.19999999999999,Off,500.0,5800.0
720,45.09999999999999,Off,470.0,5800.0
723,43.999999999999986,Single,500.0,5800.0
726,45.499999999999986,Single,530.0,5800.0
729,46.999999999999986,Single,560.0,5800.0
732,48.499999999999986,Single,590.0,5800.0
735,49.999999999999986,Single,620.0,5800.0
738,51.499999999999986,Single,650.0,5800.0
741,52.999999999999986,Single,680.0,5800.0
744,54.499999999999986,Single,710.0,5800.0
747,55.999999999999986,Single,740.0,5800.0
750,55.0,Off,710.0,5800.0
753,53.9,Off,680.0,5800.0
756,52.8,Off,650.0,5800.0
759,51.699999999999996,Off,620.0,5800.0
762,50.599999999999994,Off,590.0,5800.0
765,49.49999999999999,Off,560.0,5800.0
768,48.39999999999999,Off,530.0,5800.0
771,47.29999999999999,Off,500.0,5800.0
774,46.19999999999999,Off,470.0,5800.0
777,45.09999999999999,Off,440.0,5800.0
780,43.999999999999986,Single,470.0,5800.0
783,45.499999999999986,Single,500.0,5800.0
786,46.999999999999986,Single,530.0,5800.0
789,48.499999999999986,Single,560.0,5800.0
792,49.999999999999986,Single,590.0,5800.0
795,51.499999999999986,Single,620.0,5800.0
798,52.999999999999986,Single,650.0,5800.0
801,54.499999999999986,Single,680.0,5800.0
804,55.999999999999986,Single,710.0,5800.0
807,55.0,Off,680.0,5800.0
810,53.9,Off,650.0,5800.0
813,52.8,Off,620.0,5800.0
816,51.699999999999996,Off,590.0,5800.0
819,50.599999999999994,Off,560.0,5800.0
822,49.49999999999999,Off,530.0,5800.0
825,48.39999999999999,Off,500.0,5800.0
828,47.29999999999999,Off,470.0,5800.0
831,46.19999999999999,Off,440.0,5800.0
834,45.09999999999999,Off,410.0,5800.0
837,43.999999999999986,Single,440.0,5800.0
840,45.499999999999986,Single,470.0,5800.0
843,46.999999999999986,Single,500.0,5800.0
846,48.499999999999986,Single,530.0,5800.0
849,49.999999999999986,Single,560.0,5800.0
852,51.499999999999986,Single,590.0,5800.0
855,52.999999999999986,Single,620.0,5800.0
858,54.499999999999986,Single,650.0,5800.0
861,55.999999999999986,Single,680.0,5800.0
864,55.0,Off,650.0,5800.0
867,53.9,Off,620.0,5800.0
870,52.8,Off,590.0,5800.0
873,51.699999999999996,Off,560.0,5800.0
876,50.599999999999994,Off,530.0,5800.0
879,49.49999999999999,Off,500.0,5800.0
882,48.39999999999999,Off,470.0,5800.0
885,47.29999999999999,Off,440.0,5800.0
888,46.19999999999999,Off,410.0,5800.0
891,45.09999999999999,Off,380.0,5800.0
894,43.999999999999986,Single,410.0,5800.0
897,45.499999999999986,Single,440.0,5800.0
900,46.999999999999986,Single,470.0,5800.0
903,48.499999999999986,Single,500.0,5800.0
906,49.999999999999986,Single,530.0,5800.0
909,51.499999999999986,Single,560.0,5800.0
912,52.999999999999986,Single,590.0,5800.0
915,54.499999999999986,Single,620.0,5800.0
918,55.999999999999986,Single,650.0,5800.0
921,55.0,Off,620.0,5800.0
924,53.9,Off,590.0,5800.0
927,52.8,Off,560.0,5800.0
930,51.699999999999996,Off,530.0,5800.0
933,50.599999999999994,Off,500.0,5800.0
936,49.49999999999999,Off,470.0,5800.0
939,48.39999999999999,Off,440.0,5800.0
942,47.29999999999999,Off,410.0,5800.0
945,46.19999999999999,Off,380.0,5800.0
948,45.09999999999999,Off,350.0,5800.0
951,43.999999999999986,Single,380.0,5800.0
954,45.499999999999986,Single,410.0,5800.0
957,46.999999999999986,Single,440.0,5800.0
960,48.499999999999986,Single,470.0,5800.0
963,49.999999999999986,Single,500.0,5800.0
966,51.499999999999986,Single,530.0,5800.0
969,52.999999999999986,Single,560.0,5800.0
972,54.499999999999986,Single,590.0,5800.0
975,55.999999999999986,Single,620.0,5800.0
978,55.0,Off,590.0,5800.0
981,53.9,Off,560.0,5800.0
984,52.8,Off,530.0,5800.0
987,51.699999999999996,Off,500.0,5800.0
990,50.599999999999994,Off,470.0,5800.0
993,49.49999999999999,Off,440.0,5800.0
996,48.39999999999999,Off,410.0,5800.0
999,47.29999999999999,Off,380.0,5800.0
1002,46.19999999999999,Off,350.0,5800.0
1005,45.09999999999999,Off,320.0,5800.0
1008,43.999999999999986,Single,350.0,5800.0
1011,45.499999999999986,Single,380.0,5800.0
1014,46.999999999999986,Single,410.0,5800.0
1017,48.499999999999986,Single,440.0,5800.0
1020,49.999999999999986,Single,470.0,5800.0
1023,51.499999999999986,Single,500.0,5800.0
1026,52.999999999999986,Single,530.0,5800.0
1029,54.499999999999986,Single,560.0,5800.0
1032,55.999999999999986,Single,590.0,5800.0
1035,55.0,Off,560.0,5800.0
1038,53.9,Off,530.0,5800.0
1041,52.8,Off,500.0,5800.0
1044,51.699999999999996,Off,470.0,5800.0
1047,50.599999999999994,Off,440.0,5800.0
1050,49.49999999999999,Off,410.0,5800.0
1053,48.39999999999999,Off,380.0,5800.0
1056,47.29999999999999,Off,350.0,5800.0
1059,46.19999999999999,Off,320.0,5800.0
1062,45.09999999999999,Off,290.0,5800.0
1065,43.999999999999986,Single,320.0,5800.0
1068,45.499999999999986,Single,350.0,5800.0
1071,46.999999999999986,Single,380.0,5800.0
1074,48.499999999999986,Single,410.0,5800.0
1077,49.999999999999986,Single,440.0,5800.0
1080,51.499999999999986,Single,470.0,5800.0
1083,52.999999999999986,Single,500.0,5800.0
1086,54.499999999999986,Single,530.0,5800.0
1089,55.999999999999986,Single,560.0,5800.0
1092,55.0,Off,530.0,5800.0
1095,53.9,Off,500.0,5800.0
1098,52.8,Off,470.0,5800.0
1101,51.699999999999996,Off,440.0,5800.0
1104,50.599999999999994,Off,410.0,5800.0
1107,49.49999999999999,Off,380.0,5800.0
1110,48.39999999999999,Off,350.0,5800.0
1113,47.29999999999999,Off,320.0,5800.0
1116,46.19999999999999,Off,290.0,5800.0
1119,45.09999999999999,Off,260.0,5800.0
1122,43.999999999999986,Single,290.0,5800.0
1125,45.499999999999986,Single,320.0,5800.0
1128,46.999999999999986,Single,350.0,5800.0
1131,48.499999999999986,Single,380.0,5800.0
1134,49.999999999999986,Single,410.0,5800.0
1137,51.499999999999986,Single,440.0,5800.0
1140,52.999999999999986,Single,470.0,5800.0
1143,54.499999999999986,Single,500.0,5800.0
1146,55.999999999999986,Single,530.0,5800.0
1149,55.0,Off,500.0,5800.0
1152,53.9,Off,470.0,5800.0
1155,52.8,Off,440.0,5800.0
1158,51.699999999999996,Off,410.0,5800.0
1161,50.599999999999994,Off,380.0,5800.0
1164,49.49999999999999,Off,350.0,5800.0
1167,48.39999999999999,Off,320.0,5800.0
1170,47.29999999999999,Off,290.0,5800.0
1173,46.19999999999999,Off,260.0,5800.0
1176,45.09999999999999,Off,230.0,5800.0
1179,43.999999999999986,Single,260.0,5800.0
1182,45.499999999999986,Single,290.0,5800.0
1185,46.999999999999986,Single,320.0,5800.0
1188,48.499999999999986,Single,350.0,5800.0
1191,49.999999999999986,Single,380.0,5800.0
1194,51.499999999999986,Single,410.0,5800.0
1197,52.999999999999986,Single,440.0,5800.0
1200,54.499999999999986,Single,470.0,5800.0
1203,55.999999999999986,Single,500.0,5800.0
1206,55.0,Off,470.0,5800.0
1209,53.9,Off,440.0,5800.0
1212,52.8,Off,410.0,5800.0
1215,51.699999999999996,Off,380.0,5800.0
1218,50.599999999999994,Off,350.0,5800.0
1221,49.49999999999999,Off,320.0,5800.0
1224,48.39999999999999,Off,290.0,5800.0
1227,47.29999999999999,Off,260.0,5800.0
1230,46.19999999999999,Off,230.0,5800.0
1233,45.09999999999999,Off,200.0,5800.0
1236,43.999999999999986,Single,230.0,5800.0
1239,45.499999999999986,Single,260.0,5800.0
1242,46.999999999999986,Single,290.0,5800.0
1245,48.499999999999986,Single,320.0,5800.0
1248,49.999999999999986,Single,350.0,5800.0
1251,51.499999999999986,Single,380.0,5800.0
1254,52.999999999999986,Single,410.0,5800.0
1257,54.499999999999986,Single,440.0,5800.0
1260,55.999999999999986,Single,470.0,5800.0
1263,55.0,Off,440.0,5800.0
1266,53.9,Off,410.0,5800.0
1269,52.8,Off,380.0,5800.0
1272,51.699999999999996,Off,350.0,5800.0
1275,50.599999999999994,Off,320.0,5800.0
1278,49.49999999999999,Off,290.0,5800.0
1281,48.39999999999999,Off,260.0,5800.0
1284,47.29999999999999,Off,230.0,5800.0
1287,46.19999999999999,Off,200.0,5800.0
1290,45.09999999999999,Off,170.0,5800.0
1293,43.999999999999986,Single,200.0,5800.0
1296,45.499999999999986,Single,230.0,5800.0
1299,46.999999999999986,Single,260.0,5800.0
1302,48.499999999999986,Single,290.0,5800.0
1305,49.999999999999986,Single,320.0,5800.0
1308,51.499999999999986,Single,350.0,5800.0
1311,52.999999999999986,Single,380.0,5800.0
1314,54.499999999999986,Single,410.0,5800.0
1317,55.999999999999986,Single,440.0,5800.0
1320,55.0,Off,410.0,5800.0
1323,53.9,Off,380.0,5800.0
1326,52.8,Off,350.0,5800.0
1329,51.699999999999996,Off,320.0,5800.0
1332,50.599999999999994,Off,290.0,5800.0
1335,49.49999999999999,Off,260.0,5800.0
1338,48.39999999999999,Off,230.0,5800.0
1341,47.29999999999999,Off,200.0,5800.0
1344,46.19999999999999,Off,170.0,5800.0
1347,45.09999999999999,Off,140.0,5800.0
1350,43.999999999999986,Single,170.0,5800.0
1353,45.499999999999986,Single,200.0,5800.0
1356,46.999999999999986,Single,230.0,5800.0
1359,48.499999999999986,Single,260.0,5800.0
1362,49.999999999999986,Single,290.0,5800.0
1365,51.499999999999986,Single,320.0,5800.0
1368,52.999999999999986,Single,350.0,5800.0
1371,54.499999999999986,Single,380.0,5800.0
1374,55.999999999999986,Single,410.0,5800.0
1377,55.0,Off,380.0,5800.0
1380,53.9,Off,350.0,5800.0
1383,52.8,Off,320.0,5800.0
1386,51.699999999999996,Off,290.0,5800.0
1389,50.599999999999994,Off,260.0,5800.0
1392,49.49999999999999,Off,230.0,5800.0
1395,48.39999999999999,Off,200.0,5800.0
1398,47.29999999999999,Off,170.0,5800.0
1401,46.19999999999999,Off,140.0,5800.0
1404,45.09999999999999,Off,110.0,5800.0
1407,43.999999999999986,Single,140.0,5800.0
1410,45.499999999999986,Single,170.0,5800.0
1413,46.999999999999986,Single,200.0,5800.0
1416,48.499999999999986,Single,230.0,5800.0
1419,49.999999999999986,Single,260.0,5800.0
1422,51.499999999999986,Single,290.0,5800.0
1425,52.999999999999986,Single,320.0,5800.0
1428,54.499999999999986,Single,350.0,5800.0
1431,55.999999999999986,Single,380.0,5800.0
1434,55.0,Off,350.0,5800.0
1437,53.9,Off,320.0,5800.0
1440,52.8,Off,290.0,5800.0
1443,51.699999999999996,Off,260.0,5800.0
1446,50.599999999999994,Off,230.0,5800.0
1449,49.49999999999999,Off,200.0,5800.0
1452,48.39999999999999,Off,170.0,5800.0
1455,47.29999999999999,Off,140.0,5800.0
1458,46.19999999999999,Off,110.0,5800.0
1461,45.09999999999999,Off,80.0,5800.0
1464,43.999999999999986,Single,110.0,5800.0
1467,45.499999999999986,Single,140.0,5800.0
1470,46.999999999999986,Single,170.0,5800.0
1473,48.499999999999986,Single,200.0,5800.0
1476,49.999999999999986,Single,230.0,5800.0
1479,51.499999999999986,Single,260.0,5800.0
1482,52.999999999999986,Single,290.0,5800.0
1485,54.499999999999986,Single,320.0,5800.0
1488,55.999999999999986,Single,350.0,5800.0
1491,55.0,Off,320.0,5800.0
1494,53.9,Off,290.0,5800.0
1497,52.8,Off,260.0,5800.0
1500,51.699999999999996,Off,230.0,5800.0
1503,50.599999999999994,Off,200.0,5800.0
1506,49.49999999999999,Off,170.0,5800.0
1509,48.39999999999999,Off,140.0,5800.0
1512,47.29999999999999,Off,110.0,5800.0
1515,46.19999999999999,Off,80.0,5800.0
1518,45.09999999999999,Off,50.0,5800.0
1521,43.999999999999986,Single,80.0,5800.0
1524,45.499999999999986,Single,110.0,5800.0
1527,46.999999999999986,Single,140.0,5800.0
1530,48.499999999999986,Single,170.0,5800.0
1533,49.999999999999986,Single,200.0,5800.0
1536,51.499999999999986,Single,230.0,5800.0
1539,52.999999999999986,Single,260.0,5800.0
1542,54.499999999999986,Single,290.0,5800.0
1545,55.999999999999986,Single,320.0,5800.0
1548,55.0,Off,290.0,5800.0
1551,53.9,Off,260.0,5800.0
1554,52.8,Off,230.0,5800.0
1557,51.699999999999996,Off,200.0,5800.0
1560,50.599999999999994,Off,170.0,5800.0
1563,49.49999999999999,Off,140.0,5800.0
1566,48.39999999999999,Off,110.0,5800.0
1569,47.29999999999999,Off,80.0,5800.0
1572,46.19999999999999,Off,50.0,5800.0
1575,45.09999999999999,Off,20.0,5800.0
1578,43.999999999999986,Single,50.0,5800.0
1581,45.499999999999986,Single,80.0,5800.0
1584,46.999999999999986,Single,110.0,5800.0
1587,48.499999999999986,Single,140.0,5800.0
1590,49.999999999999986,Single,170.0,5800.0
1593,51.499999999999986,Single,200.0,5800.0
1596,52.999999999999986,Single,230.0,5800.0
1599,54.499999999999986,Single,260.0,5800.0
1602,55.999999999999986,Single,290.0,5800.0
1605,55.0,Off,260.0,5800.0
1608,53.9,Off,230.0,5800.0
1611,52.8,Off,200.0,5800.0
1614,51.699999999999996,Off,170.0,5800.0
1617,50.599999999999994,Off,140.0,5800.0
1620,49.49999999999999,Off,110.0,5800.0
1623,48.39999999999999,Off,80.0,5800.0
1626,47.29999999999999,Off,50.0,5800.0
1629,46.19999999999999,Off,20.0,5800.0
1632,45.09999999999999,Off,0.0,5790.0
1635,43.999999999999986,Single,0.0,5790.0
1638,45.499999999999986,Single,0.0,5790.0
1641,46.999999999999986,Single,0.0,5790.0
1644,48.499999999999986,Single,0.0,5790.0
1647,49.999999999999986,Single,0.0,5790.0
1650,51.499999999999986,Single,0.0,5790.0
1653,52.999999999999986,Single,0.0,5790.0
1656,54.499999999999986,Single,0.0,5790.0
1659,55.999999999999986,Single,0.0,5790.0
1662,55.0,Off,0.0,5760.0
1665,53.9,Off,0.0,5730.0
1668,52.8,Off,0.0,5700.0
1671,51.699999999999996,Off,0.0,5670.0
1674,50.599999999999994,Off,0.0,5640.0
1677,49.49999999999999,Off,0.0,5610.0
1680,48.39999999999999,Off,0.0,5580.0
1683,47.29999999999999,Off,0.0,5550.0
1686,46.19999999999999,Off,0.0,5520.0
1689,45.09999999999999,Off,0.0,5490.0
1692,43.999999999999986,Single,0.0,5490.0
1695,45.499999999999986,Single,0.0,5490.0
1698,46.999999999999986,Single,0.0,5490.0
1701,48.499999999999986,Single,0.0,5490.0
1704,49.999999999999986,Single,0.0,5490.0
1707,51.499999999999986,Single,0.0,5490.0
1710,52.999999999999986,Single,0.0,5490.0
1713,54.499999999999986,Single,0.0,5490.0
1716,55.999999999999986,Single,0.0,5490.0
1719,55.0,Off,0.0,5460.0
1722,53.9,Off,0.0,5430.0
1725,52.8,Off,0.0,5400.0
1728,51.699999999999996,Off,0.0,5370.0
1731,50.599999999999994,Off,0.0,5340.0
1734,49.49999999999999,Off,0.0,5310.0
1737,48.39999999999999,Off,0.0,5280.0
1740,47.29999999999999,Off,0.0,5250.0
1743,46.19999999999999,Off,0.0,5220.0
1746,45.09999999999999,Off,0.0,5190.0
1749,43.999999999999986,Single,0.0,5190.0
1752,45.499999999999986,Single,0.0,5190.0
1755,46.999999999999986,Single,0.0,5190.0
1758,48.499999999999986,Single,0.0,5190.0
1761,49.999999999999986,Single,0.0,5190.0
1764,51.499999999999986,Single,0.0,5190.0
1767,52.999999999999986,Single,0.0,5190.0
1770,54.499999999999986,Single,0.0,5190.0
1773,55.999999999999986,Single,0.0,5190.0
1776,55.0,Off,0.0,5160.0
1779,53.9,Off,0.0,5130.0
1782,52.8,Off,0.0,5100.0
1785,51.699999999999996,Off,0.0,5070.0
1788,50.599999999999994,Off,0.0,5040.0
1791,49.49999999999999,Off,0.0,5010.0
1794,48.39999999999999,Off,0.0,4980.0
1797,47.29999999999999,Off,0.0,4950.0
1800,46.19999999999999,Off,0.0,4920.0
1803,45.09999999999999,Off,0.0,4890.0
1806,43.999999999999986,Single,0.0,4890.0
1809,45.499999999999986,Single,0.0,4890.0
1812,46.999999999999986,Single,0.0,4890.0
1815,48.499999999999986,Single,0.0,4890.0
1818,49.999999999999986,Single,0.0,4890.0
1821,51.499999999999986,Single,0.0,4890.0
1824,52.999999999999986,Single,0.0,4890.0
1827,54.499999999999986,Single,0.0,4890.0
1830,55.999999999999986,Single,0.0,4890.0
1833,55.0,Off,0.0,4860.0
1836,53.9,Off,0.0,4830.0
1839,52.8,Off,0.0,4800.0
1842,51.699999999999996,Off,0.0,4770.0
1845,50.599999999999994,Off,0.0,4740.0
1848,49.49999999999999,Off,0.0,4710.0
1851,48.39999999999999,Off,0.0,4680.0
1854,47.29999999999999,Off,0.0,4650.0
1857,46.19999999999999,Off,0.0,4620.0
1860,45.09999999999999,Off,0.0,4590.0
1863,43.999999999999986,Single,0.0,4590.0
1866,45.499999999999986,Single,0.0,4590.0
1869,46.999999999999986,Single,0.0,4590.0
1872,48.499999999999986,Single,0.0,4590.0
1875,49.999999999999986,Single,0.0,4590.0
1878,51.499999999999986,Single,0.0,4590.0
1881,52.999999999999986,Single,0.0,4590.0
1884,54.499999999999986,Single,0.0,4590.0
1887,55.999999999999986,Single,0.0,4590.0
1890,55.0,Off,0.0,4560.0
1893,53.9,Off,0.0,4530.0
1896,52.8,Off,0.0,4500.0
1899,51.699999999999996,Off,0.0,4470.0
1902,50.599999999999994,Off,0.0,4440.0
